camera_tip_slient_capture_alert,"Silent capture mode on, photo size and quality will be affected","Modo de captura silenciosa encendido, resultará afectada la calidad y el tamaño de la fotografía","मौन कैप्चर मोड चालू, फ़ोटो का आकार और गुणवत्ता प्रभावित होगी",サイレントモードオン。写真のサイズと画質が変わります,묵음 캡처 모드를 켜면 사진 크기 및 품질이 나빠집니다,"Modo de captura silenciosa ativo, tamanho da foto e qualidade serão afetados","Беззвучная съемка включена, это влияет на качество фото","Silent capture mode on, photo size and quality will be affected","Bật chế độ chụp im lặng, kích cỡ và chất lượng ảnh sẽ bị ảnh hưởng",当前状态为静音拍照模式，照片尺寸及质量会有所改变,當前狀態為靜音拍照模式，照片尺寸及質量會有所改變
camera_tip_slient_mode_off,Silent capture mode off,Modo de captura silenciosa apagado,मौन कैप्चर मोड बंद,サイレントモードオフ,묵음 캡처 모드 해제,Modo de captura silenciosa inativo,Режим беззвучный съемки выключен,Silent capture mode off,Tắt chế độ chụp im lặng,静音模式已关闭,靜音模式已關閉
cloud_request_cancel,Canceled,Cancelado,रद्द करें,キャンセルしました,취소 완료,Cancelado,Отменено,ยกเลิกแล้ว,Đã hủy bỏ,已取消操作,已取消操作
homepage_camera,Camera,Cámara,कैमरा,カメラ,카메라,Câmera,Камера,กล้อง,Camera,相机,相機
homepage_setting,Me,Yo,मैं,ホーム,Me,Eu,Я,ตัวฉัน,Tôi,我的,我的
newuser_find_password_tip,Please enter your registered email address and we'll send you a random password.,Ingrese su dirección de correo electrónico registrada y le enviaremos una contraseña aleatoria.,कृपया अपना पंजीकृत ईमेल पता दर्ज करें और हम आपको यादृच्छिक पासवर्ड भेज देंगे।,登録したEメールアドレスランダムパスワードを送信します。,등록된 이메일 주소를 입력하시면 무작위 선정된 암호를 보내 드리겠습니다.,Insira o seu endereço de e-mail registrado e lhe enviaremos uma senha aleatória.,Введите адрес электронной почты и мы вам вышлем ссылку для восстановления пароля.,กรุณาป้อนที่อยู่อีเมลที่ลงทะเบียนของคุณและเราจะส่งรหัสผ่านแบบสุ่มไปให้,Vui lòng nhập địa chỉ email được đăng ký của bạn và chúng tôi sẽ gửi cho bạn một mật khẩu ngẫu nhiên.,请输入你的注册邮箱，我们会为你发送一个随机登录密码。,請輸入你的註冊郵箱，我們會為你發送一個隨機登錄密碼。
newuser_logout,Logout,Cerrar sesión,लॉगआउट करें,ログアウト,로그아웃,Sair,Выйти,ออกจากการใช้งาน,Đăng thoát,退出登录,退出登錄
newuser_password_invalid,Password requires 6-20 characters,La contraseña requiere de 6-20 caracteres,पासवर्ड के लिए 6-20 वर्णों की ज़रूरत है,パスワードは6～20文字,암호는 6-20개의 문자를 사용해야 합니다,A senha precisa de 6 a 20 caracteres,Пароль должен содержать от 6 до 20 символов,รหัสผ่านต้องมี 6-20 ตัวอักษร,MK yêu cầu 6-20 ký tự,密码需由6-20位字符组成,密碼需有6-20位字符組成
setting_footer_hint1,You can choose to enter the home or camera interface after starting the app.,Puede elegir ingresar a la interfaz de la cámara o de inicio después de iniciar la aplicación.,ऐप शुरू करने के बाद आप होम या कैमरा इंटरफ़ेस में प्रवेश करना चुन सकते हैं।,アプリ起動後にホーム画面に入るかカメラ画面を表示するかを選択できます。,앱 시작 후 가정 혹은 카메라 인터페이스를 입력할 수 있습니다.,Você pode escolher entrar na interface inicial ou da câmera após iniciar o aplicativo.,"Можно выбрать, что будет открываться после запуска приложения: начальный экран или интерфейс камеры.",คุณสามารถเลือกที่จะเข้าไปที่หน้าหลักหรืออินเตอร์เฟซที่กล้องหลังจากที่เริ่มต้นแอป,Bạn có thể chọn về trang chủ hoặc vào giao diện camera sau khi khởi động ứng dụng.,可选择应用启动后进入首页或拍照界面。,可選擇應用啟動後進入首頁或拍照界面。
setting_footer_hint2,"Turn on live preview to see effects on the capture interface, but might cause lag.","Encienda la vista previa en vivo para ver los efectos en la interfaz de captura, pero puede ocasionar demoras.","कैप्चर इंटरफ़ेस पर प्रभाव देखने के लिए लाइव पूर्वावलोकन चालू करें, लेकिन इससे अंतराल पैदा हो सकता है।",ライブプレビューを起動すると、撮影画面でエフェクトを見ることができますが、表示ラグが生じる場合があります。,실시간 미리보기를 켜면 촬영 인터페이스의 효과를 볼 수 있지만 보기가 지연될 수 있습니다.,"Ative a visualização ao vivo para ver os efeitos na interface de captura, mas pode causar atraso.","Включите живой просмотр, чтобы видеть эффекты во время съемки, но это может привести к замедлению работы.",เปิดพรีวิวสดเพื่อดูผลในอินเตอร์เฟซถ่ายภาพ แต่อาจทำให้เกิดความล่าช้า,"Bật xem trước trực tiếp để xem các hiệu ứng trên giao diện chụp, nhưng có thể bị giật.",实时预览开启可以在拍照界面直接看到特效效果，但在某些机型上会造成取景卡顿。,實時預覽開啟可以在拍照界面直接看到特效效果，但在某些機型上會造成取景卡頓。
setting_footer_hint3,Turning on will save photos as mirror images when using front lens.,Encenderlo guardará las fotografías como imágenes en espejo al momento de usar las lentes frontales.,"सामने के लेंस का उपयोग करते समय चालू करने से फ़ोटो, मिरर छवियों के रूप में सहेजी जाएँगी।",前面カメラ使用中に起動すると、ミラー画像として画像を保存します。,"전면 렌즈를 사용하는 경우, 사진은 거울 이미지로 저장됩니다.",Ativar salvará fotos como imagens espelhadas usando a lente frontal.,"При включении фотографии, сделанные с помощью передней камеры, будут сохраняться в зеркальном отображении.",การเปิดจะทำให้บันทึกภาพเป็นภาพสะท้อนเมื่อใช้เลนส์ด้านหน้า,Bật sẽ lưu ảnh thành ảnh bản sao khi sử dụng ống kính trước.,开启后会将前置摄像头拍照照片以镜像方式保存。,開啟後會將前置攝像頭拍照照片以鏡像方式保存。
